Index,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
1,PHQ,,,,,,
2,"Ranges, Commissionerate and Districts",,,,,,
2.1.,,Gurugram Commissionerate,,,,,
2.1.1.,,,Gurugram District,,,,
2.1.1.1.,,,,CP Office,,,
2.1.1.2.,,,,Joint CP Office,,,
2.1.1.3.,,,,Zones,,,
2.4.1.2.1.25.,,,,,,Pairvi Cell,
2.4.1.2.1.26.,,,,,,PO STAFF,
2.4.1.2.1.27.,,,,,,Police Lines,
2.4.1.2.1.28.,,,,,,Prisoner Escort Guard,
2.4.1.2.1.29.,,,,,,PS TRAFFIC,
2.4.1.2.1.30.,,,,,,Standing Guard,
2.4.1.2.1.31.,,,,,,Summon Staff,
2.4.1.2.1.32.,,,,,,Temporary Posting (with order),
2.4.1.2.1.33.,,,,,,Temporary Posting (without order),
2.4.1.2.1.34.,,,,,,TRAFFIC,
2.4.1.2.1.35.,,,,,,Training Courses,
2.4.1.2.2.,,,,,West Zone,,
2.4.1.2.2.1.,,,,,,"SECTOR-27, SONIPAT",
2.4.1.2.2.2.,,,,,,CIVIL LINE SONIPAT,
2.4.1.2.2.3.,,,,,,KHARKHODA,
2.4.1.2.2.4.,,,,,,SONIPAT CITY,
2.4.1.2.2.5.,,,,,,SONIPAT SADAR,
2.4.1.2.2.6.,,,,,,WOMEN POLICE STATION,
2.4.1.2.2.7.,,,,,,PS Cyber Sonipat,
2.4.1.2.2.8.,,,,,,ABVT STAFF,
2.4.1.2.2.9.,,,,,,ADR Centre,
2.4.1.2.2.10.,,,,,,ANC,
2.4.1.2.2.11.,,,,,,Challaning Branch,
2.4.1.2.2.12.,,,,,,CIA,
2.4.1.2.2.13.,,,,,,Couple Protection Cell,
2.4.1.2.2.14.,,,,,,Court Security,
2.4.1.2.2.15.,,,,,,Deputation,
2.4.1.2.2.16.,,,,,,DPO,
2.4.1.2.2.17.,,,,,,EOW,
2.4.1.2.2.18.,,,,,,GO Staffs,
2.4.1.2.2.19.,,,,,,Gunmen,
2.4.1.2.2.20.,,,,,,Head Proficient,
2.4.1.2.2.21.,,,,,,Judicial Lockup,
2.4.1.2.2.22.,,,,,,Missing Person Cell,
2.4.1.2.2.23.,,,,,,Naib Court,
2.4.1.2.2.24.,,,,,,Naib Court (Civil),
2.4.1.2.2.25.,,,,,,Pairvi Cell,
2.4.1.2.2.26.,,,,,,PO STAFF,
2.4.1.2.2.27.,,,,,,Police Lines,
2.4.1.2.2.28.,,,,,,Prisoner Escort Guard,
2.4.1.2.2.29.,,,,,,PS TRAFFIC,
2.4.1.2.2.30.,,,,,,Standing Guard,
2.4.1.2.2.31.,,,,,,Summon Staff,
2.4.1.2.2.32.,,,,,,Temporary Posting (with order),
2.4.1.2.2.33.,,,,,,Temporary Posting (without order),
2.4.1.2.2.34.,,,,,,TRAFFIC,
2.4.1.2.2.35.,,,,,,Training Courses,
2.4.1.2.3.,,,,,Gohana Zone,,
2.4.1.2.3.1.,,,,,,BARAUDA,
2.4.1.2.3.2.,,,,,,GOHANA CITY,
2.4.1.2.3.3.,,,,,,GOHANA SADAR,
2.4.1.2.3.4.,,,,,,MOOHANA,
2.4.1.2.3.5.,,,,,,WOMEN PS KHANPUR KALAN,
2.4.1.2.3.6.,,,,,,WOMEN PS GOHANA,
2.4.1.2.3.7.,,,,,,ABVT STAFF,
2.4.1.2.3.8.,,,,,,ADR Centre,
2.4.1.2.3.9.,,,,,,ANC,
2.4.1.2.3.10.,,,,,,Challaning Branch,
2.4.1.2.3.11.,,,,,,CIA,
2.4.1.2.3.12.,,,,,,Couple Protection Cell,
2.4.1.2.3.13.,,,,,,Court Security,
2.4.1.2.3.14.,,,,,,Deputation,
2.4.1.2.3.15.,,,,,,DPO,
2.4.1.2.3.16.,,,,,,EOW,
2.4.1.2.3.17.,,,,,,GO Staffs,
2.4.1.2.3.18.,,,,,,Gunmen,
2.4.1.2.3.19.,,,,,,Head Proficient,
2.4.1.2.3.20.,,,,,,Judicial Lockup,
2.4.1.2.3.21.,,,,,,Missing Person Cell,
2.4.1.2.3.22.,,,,,,Naib Court,
2.4.1.2.3.23.,,,,,,Naib Court (Civil),
2.4.1.2.3.24.,,,,,,Pairvi Cell,
2.4.1.2.3.25.,,,,,,PO STAFF,
2.4.1.2.3.26.,,,,,,Police Lines,
2.4.1.2.3.27.,,,,,,Prisoner Escort Guard,
2.4.1.2.3.28.,,,,,,PS TRAFFIC,
2.4.1.2.3.29.,,,,,,Standing Guard,
2.4.1.2.3.30.,,,,,,Summon Staff,
2.4.1.2.3.31.,,,,,,Temporary Posting (with order),
2.4.1.2.3.32.,,,,,,Temporary Posting (without order),
